x	y
-4	-12.6116441392978
-3.96	-15.1790128653364
-3.92	-23.2894290714708
-3.88	-20.4262306905892
-3.84	-14.982877101554
-3.8	-22.8251192461418
-3.76	-31.3481303592464
-3.72	-15.2449199613655
-3.68	-21.0076099186938
-3.64	-28.7364689392292
-3.6	-18.9563835197055
-3.56	-20.4531702983177
-3.52	-23.6974969932488
-3.48	-29.5878252990012
-3.44	-23.9281159806662
-3.4	-25.1785641337406
-3.36	-15.5993872705054
-3.32	-20.9956504626369
-3.28	-18.8787815506345
-3.24	-19.464123147796
-3.2	-22.3131363903561
-3.16	-17.0654766129749
-3.12	-23.63270329065
-3.08	-12.2706318791071
-3.04	-24.4696563805784
-3	-28.2240387493579
-2.96	-14.640206000214
-2.92	-20.8433290480989
-2.88	-14.735571387233
-2.84	-14.087088664917
-2.8	-12.8824657633051
-2.76	-15.0954334978301
-2.72	-12.1996195101313
-2.68	-15.8323800870565
-2.64	-11.5942017488336
-2.6	-17.4787223662974
-2.56	-7.08771425396541
-2.52	-16.8423662019661
-2.48	-15.3463484984197
-2.44	-15.2342875033413
-2.4	-6.77339226946274
-2.36	-14.5701458614208
-2.32	-12.1966552048291
-2.28	-9.55306506694928
-2.24	-7.19504033973222
-2.2	-14.5695481662006
-2.16	-4.67852896216111
-2.12	-6.14929424514894
-2.08	-6.27487681600972
-2.04	-6.59441738642105
-2	-11.8060791187883
-1.96	-15.8064136922361
-1.92	-9.12441019618535
-1.88	-2.58099750901159
-1.84	-5.09606427858784
-1.8	-3.97144346952753
-1.76	-1.91101612229934
-1.72	-2.7892050330676
-1.68	-3.62226234172015
-1.64	-6.72665425261046
-1.6	-1.94162333746701
-1.56	-3.17086556274338
-1.52	0.748518548165154
-1.48	1.50712115227541
-1.44	0.810095399216679
-1.4	-3.59389914386935
-1.36	-5.16865686971039
-1.32	-9.21539806601392
-1.28	5.64580481149816
-1.24	4.35466179206452
-1.2	-3.896695837978
-1.16	-3.65368590801466
-1.12	-0.168046120414314
-1.08	-5.70220046282903
-1.04	-0.604733357353494
-1	8.82782914325914
-0.96	-1.93118315108288
-0.92	-6.35526215222669
-0.88	0.0157470103934343
-0.84	2.64678243394774
-0.8	-1.00965810626851
-0.76	3.02933646488588
-0.72	-10.3956209325517
-0.68	2.54195571122155
-0.64	-2.66319864756121
-0.6	-6.82498475415938
-0.56	-1.155891845997
-0.52	-6.66266419394171
-0.48	-6.06109481927475
-0.44	0.121821713682046
-0.4	4.6956794023538
-0.36	1.14796541663878
-0.32	3.82436330578503
-0.28	-4.58647760377955
-0.24	3.9017555835942
-0.2	2.85156004414834
-0.16	3.23832270667826
-0.12	-1.7741372536942
-0.0800000000000001	-0.722317448710612
-0.04	-7.21005042277856
0	2.45150180569522
0.04	-5.55093739450484
0.0800000000000001	1.91911970345974
0.12	-2.90794280373181
0.16	-1.0901921815024
0.2	7.05806182453663
0.24	-1.92037717960474
0.28	-1.80635129137688
0.32	3.1370433535392
0.36	-6.3555964204012
0.4	1.66656589345531
0.44	-2.8458438765077
0.48	6.85056398352246
0.52	0.927856642647723
0.56	-3.77259725162205
0.600000000000001	1.3340368508855
0.64	9.16405556083825
0.68	0.0262614332870684
0.72	1.76584537839974
0.76	-1.77086623095639
0.8	-0.319111936171884
0.84	0.490786573156614
0.88	-0.714994200587775
0.92	-2.30897070004959
0.96	0.279032721786511
1	1.42597813622421
1.04	-3.67057991123675
1.08	-3.45221996210837
1.12	2.15835471879907
1.16	-5.7526600540261
1.2	-2.17252235670961
1.24	-0.258930061446131
1.28	6.35930910496888
1.32	0.706279968310256
1.36	1.64459722164782
1.4	8.8833374565354
1.44	-7.43452948580568
1.48	1.18142942994366
1.52	1.01831123498136
1.56	-5.68524798829891
1.6	-5.8209646384212
1.64	-4.24999400455681
1.68	-3.00423840726604
1.72	-3.08396350561173
1.76	-0.744277905376992
1.8	-3.90011039056016
1.84	-7.96879972487689
1.88	-6.45876148600651
1.92	-5.24819943353468
1.96	0.530513100946274
2	-6.83981296022573
2.04	-4.65519494619863
2.08	-6.75434877555306
2.12	-6.24561356455433
2.16	-6.27791812297056
2.2	-5.1970834174014
2.24	-6.74766353556395
2.28	-2.05025002181373
2.32	-4.98459965334906
2.36	-1.6424442910161
2.4	-9.59559279617586
2.44	-0.019657203423896
2.48	-9.10019805152933
2.52	-4.96148437455399
2.56	0.30259340560487
2.6	-11.3028625086909
2.64	-14.6306960637328
2.68	-8.0940141603458
2.72	-6.72783920055748
2.76	-11.0336400011669
2.8	-9.48411738763974
2.84	-4.09353772694703
2.88	-10.8513765823369
2.92	-11.2143755719708
2.96	-13.005691518989
3	-9.76398414096744
3.04	-24.6289715260482
3.08	-23.1296496007631
3.12	-29.3520152187761
3.16	-27.4567569632585
3.2	-13.9047403088676
3.24	-15.3887360510605
3.28	-28.2248454613979
3.32	-25.4000073738961
3.36	-28.8704189942208
3.4	-30.8817092195568
3.44	-31.8028126774534
3.48	-31.7594741305254
3.52	-29.5720986205888
3.56	-31.3125163635552
3.6	-49.1976798050069
3.64	-30.5684149462826
3.68	-42.8457216465678
3.72	-41.4607929436803
3.76	-51.1808830100275
3.8	-36.7612037001211
3.84	-48.4544239234564
3.88	-55.533142370333
3.92	-57.0167951966734
3.96	-60.2078349057995
4	-62.1758870012244
